vchauditfirmname|vchauditfirmno
S.M. TUANG & CO.|AF358
HANAFIAH RASLAN & MOHAMAD (202006000002)|AF0002
YUEN TANG & CO|AF0003
NOORDIN JAAFAR|AF0004
Y.S. YEE & CO..|AF0005
ABU BAKAR RAJUDIN & CO.|AF0006
YUSUF,OH & SIVA|AF0007
KHOO & CO.|AF0008
LAI YEOW KWANG & CO.|AF0009
SALLEH, LEONG, AZLAN & CO.|AF0010
AZMAN,WONG,SALLEH & C0.|AF0012
FOO, LEE, AN & ASSOCIATES|AF0013
TOUCHE ROSS & CO.|AF0014
LAU CHUA KONG & CO.|AF0015
A.J. CHOO & CO.|AF0016
SYARIKAT SEET|AF0017
C. P. POON & CO.|AF0018
JAFFAR HUSSEIN & CO.|AF0056
LIM HOON NAM & CO.|AF0057
H.K. PHUAH & CO.|AF0058
GOH KHEK SIEW & CO.|AF0059
CHEW & ASSOCIATES|AF0060
NARAYAN & CO.|AF0061
BEH L. H. & CO.|AF0062
KHOO ASSOCIATES|AF0063
S.L.NG & ASSOCIATES|AF0064
M.H. NGU & CO.|AF0065
TAN HUAI LEONG & CO.|AF0067
T O  WONG & CO.|AF0068
WONG, LEE & CO.|AF0070
RSL PLT (LLP0020047-LCA)|AF0071
ANUARUL,AZIZAN & CO.|AF0072
MUSTAPHA LAW|AF0073
NG, LEE & PARTNERS|AF0019
S.T. PILLAI & CO.|AF0020
CHONG T. C. & COMPANY|AF0021
C.K. KHOO & CO.|AF0022
PAYNE DAVIS & CO.|AF0023
KUMPULAN NAGA|AF0024
SOON AND COMPANY PLT (LLP 0018690-LCA)|AF0025
Y.M. WONG & CO.|AF0026
A. ARUMUGAM & CO.|AF0028
TERENCE OH & ASSOCIATES.|AF0029
LEAN OH & ASSOCIATES|AF0030
RAZAK, MUSTAPHA & CO.|AF0031
DESA MEGAT & CO.|AF0032
KHOO TENG KEAT & CO.|AF0033
PEAT MARWICK|AF0034
K.L. LIM & CO.|AF0035
EVAN WONG & CO.|AF0036
NORDIN BAHARUDDIN & CO.|AF0038
ERNST & YOUNG PLT (LLP0022760-LCA)|AF0039
SSY PARTNERS|AF0040
GRANT THORNTON|AF0042
OWEN KLCA|AF0043
LUM & CO.|AF0044
CHINNADURAI & CO.|AF0045
NG KAI MUN & CO.|AF0046
T.C. LIEW & CO.|AF0047
H.H. TAN & CO.|AF0048
FOONG SENG CHOY & CO.|AF0049
CHAN & FOLK|AF0050
P.S. KOOI & CO..|AF0051
PRICE WATERHOUSE|AF0052
EVATT &.CO.|AF0053
YEO & CO.|AF0054
YYC & CO PLT (LLP0020596-LCA)|AF0055
GONG & COMPANY|AF0074
L.H.LEE & CO.|AF0076
S.S. TAN & CO.|AF0077
KLYNVELD MAIN GOERDELER|AF0078
DELOITTE HASKIN & SELLS|AF0079
DELOITTE PLT (LLP0010145-LCA)|AF0080
CHONG & CHONG|AF0081
AU YEONG SOO & ASSOCIATES|AF0082
K.C. CHOONG & CO.|AF0083
S.M. LOH, BALA & CO.|AF0084
H.B. LEE & CO.|AF0085
SOON TACK KUANG & COMPANY|AF0086
LEW & CO.|AF0087
KOAY ASSOCIATES|AF0088
HEW & CO.|AF0089
L.S. LOH & CO.|AF0090
NG & PARTNERS|AF0091
AU YEONG & CO.|AF0093
LEE & COMPANY|AF0094
TOMMY KONG, LOW YEW-LOON & PARTNERS|AF0095
C.H. TEO & CO.|AF0096
YOONG SIEW WAH & CO.|AF0097
T.C. CHUNG & CO.|AF0098
A.D. CHUN & CO.|AF0099
LIM, TAY & CO.|AF0100
CHAN CHEE HONG & COMPANY|AF0101
SAMAD & CO.|AF0102
ARTHUR ANDERSEN & CO.|AF0103
CHAN CHEE HONG, KITSON & CO.|AF0104
O.L. YEO & CO.|AF0105
LING KAM HOONG & CO.|AF0106
C.P. WEE & CO.|AF0107
SYARIKAT K.W. FENG|AF0108
CHAN & CO.|AF0109
EDDY K.C. CHONG & CO.|AF0110
TET O. CHONG & CO.|AF0111
KIAT & ASSOCIATES PLT (LLP0019875-LCA)|AF0112
KRESTON JOHN & GAN|AF0113
HORWATH TH LIEW TONG|AF0114
LU & ASSOCIATES|AF0115
YEAP CHENG CHUAN & CO.|AF0116
BAKER TILLY MONTEIRO HENG PLT (LLP0019411-LCA)|AF0117
T.K. LIM & CO.|AF0118
ROBERT CHIN, LEE & ASSOCIATES|AF0120
LESLIE YAP & CO.|AF0121
K.K. WONG & CO.|AF0122
HII & LEE|AF0123
HII CHING GIU & CO.|AF0124
L.S. DUTT & CO.|AF0125
LAU HOI CHEW & CO.|AF0126
K.Y. WONG & CO.|AF0127
A.L. LEE & CO.|AF0129
LAU & LING|AF0130
Y.T. YEE & CO.|AF0131
LARRY SEOW & CO.|AF0132
SOH & CO.|AF0133
ROGER YUE & ASSOCIATES|AF0134
BAHARUM - JASANI|AF0135
MENON & ASSOCIATES|AF0136
E.M. CHAN & CO.|AF0137
SIVA,OH & CO.,|AF0138
CHIU TZE MING & CO.|AF0139
CHEING TAN & CO.|AF0140
KS LAU & CO.|AF0141
SANKAR & CO.|AF0142
RAM J & CO.|AF0143
S. THILLAIMUTHU & CO.|AF0144
C.K. HU & CO.|AF0146
CHIANG & CO.|AF0147
CHAN CHEE HONG & SON|AF0148
CHIN & CO.|AF0149
GOONTING & CHEW|AF0150
LIUNG & CO.|AF0151
RUSS OOI & ASSOCIATES|AF0152
SIVALINGAM & CO.|AF0153
SENTHE & CO.|AF0154
LIM & COMPANY|AF0155
CSK & ASSOCIATES|AF0156
KEVIN LEE & CO.|AF0158
CKF & PARTNERS|AF0159
YAP POW KONG & CO.|AF0161
LIM TAM CHONG & CO.|AF0162
FOO BOON FONG & CO.|AF0164
PETER CHONG & CO.|AF0165
Y.C. LEE & CO.|AF0166
FOO YEE YUAN & CO.|AF0167
RAZAK & CO.|AF0168
MUSTAPHA & LOH|AF0169
WONG CHUA & CO.|AF0170
LIM, CHEH & CHANG|AF0171
NG CHIN HUAN & ASSOCIATES|AF0172
DAVID KUOK & CO.|AF0173
CHARI & CO.|AF0174
CHARI & RAMA|AF0175
SUN CHONG & WONG|AF0176
NORHASHIMAH & PARTNERS|AF001961
AWIN, ONG & MOHAMMAD|AF0177
COOPERS & LYBRAND|AF0178
COOPERS & LYBRAND PENINSULAR|AF0179
COOPERS & LYBRAND CENTRAL|AF0180
WONG LIU & PARTNERS|AF0182
KAN & ASSOCIATES|AF0183
P.H. TAN & CO.|AF0184
SHA,TAN & CO|AF0185
PETER CHEW & CO..|AF0186
YAP SOON HIN & CO.|AF0187
Y.K. THAM & CO..|AF0189
TING HUA CHEONG & CO.|AF0191
B. L. TEOH & CO.|AF0192
J. S. SOO & CO. PLT (LLP0022870-LCA)|AF0193
K.W. CHONG & CO.|AF0195
ESTHER TAN & CO.|AF0196
CHIANG & CHIANG|AF0197
LEE & ASSOCIATES|AF0198
K.K. SAN,LIEW & LOKE|AF0200
NG YOKE WENG & CO.|AF0201
HO & CO.|AF0202
POR, OOI & CO PLT (LLP0002423-LCA)|AF0203
ANDREW PEATTIE & CO.|AF0204
TAI, YAPP & CO.|AF0205
BDO PLT (LLP0018825-LCA)|AF0206
BINDER DIJKER OTTE & CO.|AF0207
BDO TAN AZLAN.|AF0208
TAN KIM LEONG & CO.|AF0209
CHIN OOI & CO.|AF0210
FRANCIS CHIA & CO.|AF0211
TAN TOH HUA & PARTNERS|AF0212
SU HOW SOON & CO.|AF0213
HO ASSOCIATES|AF0215
ONG HUCK TUAN & CO.|AF0216
CHEW WAI KHOON & CO.|AF0217
BAKER TILLY HYT|AF0218
K.L. TAN & CO.|AF0219
LEE THONG WAH & CO.|AF0221
K.C. THAM & CO.|AF0222
K.L. TIAN & CO.|AF0223
H.H. CHONG & ASSOCIATES|AF0224
H B OOI & CO.|AF0225
YEE PAK CHEE|AF0226
FOONG WENG CHEE & CO.|AF0227
LOW & CO.|AF0229
ANTHONY SKELCHY & CO.|AF0230
LAWRENCE MON & CO.|AF0231
CBS & CO|AF0232
E.A. TAN & CO.|AF0233
ALLAN CHOONG & CO.|AF0234
TIMOTHY PHUA SENG LAM|AF0235
KOAY,GOH,TANG & GAN.|AF0236
S.K. TEO & CO.|AF0237
C.H. CHANG & CO.|AF0238
HO CHEE MEE & CO.|AF0239
D.R. SENG & COMPANY|AF0240
ONG & WONG|AF0241
K.S. SOON AND COMPANY|AF0242
GOW & TAN|AF0243
L.K. CHONG & CO.|AF0244
WONG YENG MUN & CO.|AF0245
T.H. TAN & CO.|AF0246
K.B. TAN & CO.|AF0247
Y.S. YONG & CO.|AF0248
RAZALEE & CO.|AF0249
P.K. YAP & ASSOCIATES|AF0251
WONG YOW SENG & CO.|AF0252
KANG & CHEAH|AF0254
K.S. CHUA & CO.|AF0255
B. J. TAN & CO.|AF0256
FRANCIS LEE & CO.|AF0258
LIANG LIM & ASSOCIATES|AF0259
POON & COMPANY (KL)|AF0260
MOK & CO|AF0261
SAM AH CHOW & CO.|AF0264
LIM  ALI & CO.|AF0265
ARTHUR YOONG|AF0266
AIDID & CO.|AF0267
H.K. TAN & CO.|AF0268
C.S. YEAP & ASSOCIATES|AF0269
SIVA HARRIS & TROTTER|AF0270
K.L. SONG & CO.|AF0271
K.L. SONG, TAN & CO.|AF0272
KWONG & COMPANY.|AF0274
HLB LER LUM PLT (LLP0021174-LCA)|AF0276
MGI-ALJEFFRI|AF0277
LAU & CO. (K.TRENGGANU)|AF0278
C.K. OOI & CO.|AF0279
P.L. ONG & CO.|AF0280
ARTHUR YOUNG & COMPANY (SABAH)|AF0281
MOORE STEPHENS|AF0282
LIM SIANG GUAN & CO.|AF0283
MICHAEL LIM & CO.|AF0284
ALLAN ONG & CO. PLT (LLP0018508-LCA)|AF0285
LIM TEOH & CO.|AF0287
K.L. YONG & CO.|AF0288
Y.C. LIEW & CO.|AF0289
LIM HAN HO & CO.|AF0290
S.Y. KWONG & CO.|AF0291
LEE, SONG & CO.|AF0293
NG KOK LEONG & CO.|AF0295
HII KING HIONG & CO.|AF0296
GANESH & CO.|AF0297
VICTOR & CO.|AF0298
CHENG KHENG WU & CO.|AF0299
J.S. HENG & CO.|AF0300
P.C. CHAN & PARTNERS|AF0301
TAN CHE & ASSOCIATES|AF0302
POON & COMPANY (JB)|AF0303
LIM HON CHEW & CO.|AF0304
CHUAH & ASSOCIATES|AF0305
HUN & CO.|AF0306
GRANT THORNTON MSW|AF0307
ENG & CO.|AF0308
SEAH & ASSOCIATES|AF0309
SIA & CO.|AF0310
PETER I.M CHIENG & CO|AF0311
SKW ASSOCIATES|AF0312
SIVA & CO.|AF0313
K.K. CHOW & CO.|AF0314
ROBERT YAM & CO.|AF0315
MOHAMED & CO.|AF0316
CHONG TOO YEN & CO.|AF0317
YAP & COMPANY|AF0318
E.S. LIM & CO.|AF0319
ONG BOON BAH & CO.|AF0320
CHEAH KHYE CHUAN & CO.|AF0321
TEH ENG AUN & CO..|AF0322
LIM TAY & CO.|AF0323
KONG PAK NAM & CO.|AF0324
KOAY SENG LEONG & CO.|AF0325
SYARIKAT C.H. KAM|AF0326
THAM & CO.|AF0329
